action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,129773,[],CHEMBL648688,Inhibitory activity against angiotensin I converting enzyme (ACE),B,,,BAO_0000190,BAO_0000357,single protein format,CCCCC(CC(=O)NO)S(=O)(=O)C1CCCCC1,,,CHEMBL1133694,J Med Chem,2000,,CHEMBL77258,,CHEMBL77258,,0,http://www.openphacts.org/units/Nanomolar,135606,>,1,1,>,,IC50,nM,,100000.0,CHEMBL1808,Homo sapiens,Angiotensin-converting enzyme,9606,,,IC50,uM,UO_0000065,,100.0
,,131629,[],CHEMBL648347,Concentration required for 50% inhibition of Angiotensin I converting enzyme,B,,,BAO_0000190,BAO_0000224,protein format,O=C(O)CN1CCCC(CS)C1=O,,,CHEMBL1121705,J Med Chem,1981,"{'bei': '29.52', 'le': '0.63', 'lle': '5.76', 'sei': '10.41'}",CHEMBL11707,,CHEMBL11707,6.00,0,http://www.openphacts.org/units/Nanomolar,9822,=,1,1,=,,IC50,nM,,1000.0,CHEMBL1808,Homo sapiens,Angiotensin-converting enzyme,9606,,,IC50,M,UO_0000065,,0.000001
,,132953,[],CHEMBL648347,Concentration required for 50% inhibition of Angiotensin I converting enzyme,B,,,BAO_0000190,BAO_0000224,protein format,CC(=O)SCC1CCN(CC(=O)O)C1=O,,,CHEMBL1121705,J Med Chem,1981,"{'bei': '19.38', 'le': '0.41', 'lle': '4.28', 'sei': '6.00'}",CHEMBL11783,,CHEMBL11783,4.48,0,http://www.openphacts.org/units/Nanomolar,9818,=,1,1,=,,IC50,nM,,33000.0,CHEMBL1808,Homo sapiens,Angiotensin-converting enzyme,9606,,,IC50,M,UO_0000065,,0.000033
,,134106,[],CHEMBL648347,Concentration required for 50% inhibition of Angiotensin I converting enzyme,B,,,BAO_0000190,BAO_0000224,protein format,CCCC(C(=O)O)N1CCCC(CSC(C)=O)C1=O,,,CHEMBL1121705,J Med Chem,1981,"{'bei': '15.74', 'le': '0.33', 'lle': '2.76', 'sei': '6.06'}",CHEMBL416706,,CHEMBL416706,4.52,0,http://www.openphacts.org/units/Nanomolar,9826,=,1,1,=,,IC50,nM,,30000.0,CHEMBL1808,Homo sapiens,Angiotensin-converting enzyme,9606,,,IC50,M,UO_0000065,,0.00003
,,136677,[],CHEMBL644578,Inhibitory activity against porcine plasma Angiotensin I converting enzyme,B,,,BAO_0000190,BAO_0000366,cell-free format,O=C(NC(Cc1ccccc1)C(=O)CCC(=O)N1CCCC1C(=O)NO)c1ccccc1,,,CHEMBL1122915,J Med Chem,1985,"{'bei': '13.25', 'le': '0.25', 'lle': '3.93', 'sei': '5.00'}",CHEMBL274553,,CHEMBL274553,5.80,0,http://www.openphacts.org/units/Nanomolar,8025,=,1,1,=,,IC50,nM,,1600.0,CHEMBL1808,Homo sapiens,Angiotensin-converting enzyme,9606,,,I50,uM,UO_0000065,,1.6
,,139183,[],CHEMBL644578,Inhibitory activity against porcine plasma Angiotensin I converting enzyme,B,,,BAO_0000190,BAO_0000366,cell-free format,NCCCCC(NC(=O)C1CCC1)C(=O)NC(Cc1ccccc1)C(=O)CCC(=O)N1CCCC1C(=O)NO.O=C(O)C(F)(F)F,,,CHEMBL1122915,J Med Chem,1985,"{'bei': '14.64', 'le': '0.28', 'lle': '6.99', 'sei': '4.66'}",CHEMBL275702,,CHEMBL1183005,7.96,0,http://www.openphacts.org/units/Nanomolar,8026,=,1,1,=,,IC50,nM,,11.0,CHEMBL1808,Homo sapiens,Angiotensin-converting enzyme,9606,,,I50,uM,UO_0000065,,0.011
,,139233,[],CHEMBL644578,Inhibitory activity against porcine plasma Angiotensin I converting enzyme,B,,,BAO_0000190,BAO_0000366,cell-free format,NCCCCC(NC(=O)C1CCC1)C(=O)NC(Cc1ccccc1)C(=O)CCC(=O)N1CCCC1C(=O)O.O=C(O)C(F)(F)F,,,CHEMBL1122915,J Med Chem,1985,"{'bei': '15.36', 'le': '0.29', 'lle': '6.57', 'sei': '5.11'}",CHEMBL274550,,CHEMBL357534,8.12,0,http://www.openphacts.org/units/Nanomolar,8032,=,1,1,=,,IC50,nM,,7.6,CHEMBL1808,Homo sapiens,Angiotensin-converting enzyme,9606,,,I50,uM,UO_0000065,,0.0076
,,143219,[],CHEMBL648688,Inhibitory activity against angiotensin I converting enzyme (ACE),B,,,BAO_0000190,BAO_0000357,single protein format,CCCCC(CC(=O)NO)S(=O)(=O)c1ccc2ccccc2c1,,,CHEMBL1133694,J Med Chem,2000,"{'bei': '14.63', 'le': '0.29', 'lle': '1.84', 'sei': '5.88'}",CHEMBL78001,,CHEMBL78001,4.91,0,http://www.openphacts.org/units/Nanomolar,135608,=,1,1,=,,IC50,nM,,12400.0,CHEMBL1808,Homo sapiens,Angiotensin-converting enzyme,9606,,,IC50,uM,UO_0000065,,12.4
,,149654,[],CHEMBL648282,Tested in vitro for inhibition of Angiotensin converting enzyme (ACE),B,,,BAO_0000190,BAO_0000357,single protein format,O=C(O)CCN1C(=O)[C@@H](NC(=O)[C@@H](S)Cc2ccccc2)CCc2ccccc21,,,CHEMBL1127937,Bioorg Med Chem Lett,1994,"{'bei': '18.04', 'le': '0.35', 'lle': '4.97', 'sei': '8.58'}",CHEMBL301364,,CHEMBL301364,7.44,0,http://www.openphacts.org/units/Nanomolar,85903,=,1,1,=,,IC50,nM,,36.0,CHEMBL1808,Homo sapiens,Angiotensin-converting enzyme,9606,,,I50,nM,UO_0000065,,36.0
,,150864,[],CHEMBL648282,Tested in vitro for inhibition of Angiotensin converting enzyme (ACE),B,,,BAO_0000190,BAO_0000357,single protein format,C[C@H](NC(=O)[C@@H](S)Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)O,,,CHEMBL1127937,Bioorg Med Chem Lett,1994,"{'bei': '21.47', 'le': '0.43', 'lle': '6.41', 'sei': '8.68'}",CHEMBL287896,,CHEMBL287896,7.52,0,http://www.openphacts.org/units/Nanomolar,85891,=,1,1,=,,IC50,nM,,30.0,CHEMBL1808,Homo sapiens,Angiotensin-converting enzyme,9606,,,I50,nM,UO_0000065,,30.0
