molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL59354,CC(CS)C(=O)N1CCc2ccccc2C1,inactive,235.35199999999998,2.1372,1,2,4.318758762624412
CHEMBL2114322,CCOC(=O)[C@@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2ccccc2C[C@H]1C(=O)O,active,438.5240000000003,2.5671,2,5,6.698970004336019
CHEMBL57201,CC(=O)SCC(C)C(=O)N1CCc2ccccc2C1C(=O)O,inactive,321.398,2.1128,1,4,4.0
CHEMBL58720,CC(=O)SCC(C)C(=O)N1Cc2ccccc2CC1C(=O)O,active,321.3980000000001,1.9403000000000001,1,4,6.886056647693163
CHEMBL2115288,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2ccccc2C[C@@H]1C(=O)O,intermediate,438.5240000000003,2.5671,2,5,5.214670164989233
CHEMBL61916,CC(CS)C(=O)N1CCc2ccccc2C1C(=O)O,inactive,279.361,1.7629,2,3,4.236572006437063
CHEMBL57202,CC(=O)SCC(C)C(=O)N1CCc2ccccc2C1,inactive,277.389,2.4871000000000008,0,3,4.309803919971486
CHEMBL2115478,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2ccccc2[C@H]1C(=O)O,active,424.49700000000024,2.6971000000000007,2,5,7.356547323513812
CHEMBL2115076,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2ccccc2[C@@H]1C(=O)O,active,424.49700000000024,2.6971000000000007,2,5,6.0
CHEMBL417226,O=C(O)C1c2ccccc2CN1C(=O)CCS,inactive,251.30699999999996,1.4744,2,3,4.236572006437063
CHEMBL61137,CC(=O)SCCC(=O)N1Cc2ccccc2C1C(=O)O,inactive,293.34400000000005,1.8243,1,4,4.657577319177793
CHEMBL279737,CC(CS)C(=O)N1Cc2ccccc2CC1C(=O)O,active,279.361,1.5904,2,3,7.7447274948966935
CHEMBL3350318,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2cc(OC)c(OC)cc2C[C@@H]1C(=O)O,inactive,498.5760000000004,2.5843,2,7,4.045757490560675
CHEMBL57338,C[C@H](N)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,inactive,236.27100000000002,0.1457000000000001,3,3,3.720000004094201
CHEMBL91561,NCCCC[C@H](N)C(=O)NCC(=O)O,inactive,203.242,-1.3564999999999983,4,4,2.4899999999055544
CHEMBL292467,NCC(=O)NCC(=O)O,inactive,132.119,-1.8540999999999999,3,3,2.140000000044956
CHEMBL86518,O=C(O)CN1CCCCCC(NC(CCc2ccccc2)C(=O)O)C1=O,intermediate,362.4260000000001,1.5177999999999996,3,4,5.769551078621726
CHEMBL91090,CC[C@H](C)[C@H](N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O,intermediate,294.35100000000006,0.8774999999999995,4,4,5.430000267796054
CHEMBL94119,CC[C@H](C)[C@H](N)C(=O)N1CCC[C@@H]1C(=O)O,inactive,228.29199999999994,0.43539999999999995,2,3,3.889999983714797
CHEMBL420061,NCCCC[C@H](NC(=O)CN)C(=O)O,inactive,203.24199999999996,-1.3564999999999978,4,4,2.2700000002994214
CHEMBL90069,CC(C)[C@H](N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O,inactive,280.324,0.4873999999999999,4,4,4.659999925349902
CHEMBL327608,C[C@H](N)C(=O)N1CCC[C@@H]1C(=O)O,inactive,186.21099999999998,-0.5907999999999995,2,3,3.6399999910458836
CHEMBL439762,CC(C)[C@H](N)C(=O)N1CCC[C@H]1C(=O)O,inactive,214.26499999999996,0.045300000000000284,2,3,3.380000003615395
CHEMBL80548,NCC(=O)N1CCC[C@H]1C(=O)O,inactive,172.184,-0.9792999999999998,2,3,3.3500000020913046
CHEMBL91330,CC[C@H](C)[C@H](N)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,inactive,278.35200000000003,1.1718999999999995,3,3,3.0300000003708836
CHEMBL93127,NCC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)O,inactive,212.20899999999997,-1.5196999999999985,4,4,2.5100000003532474
CHEMBL90074,C[C@H](NC(=O)[C@@H](N)CCC(=O)O)C(=O)O,inactive,218.20899999999997,-1.2321999999999993,4,4,2.0
CHEMBL91623,C[C@H](CS)C(=O)N1C[C@H](NC(=O)C(CS)Cc2ccccc2)C[C@H]1C(=O)O,active,410.5610000000002,1.5113,4,5,7.7447274948966935
CHEMBL541207,CC(C)C[C@H](N)C(=O)N[C@@H](C)C(=O)O,inactive,202.254,-0.05089999999999978,3,3,3.5100000045692954
CHEMBL420983,C[C@@H](O)[C@H](NC(=O)CN)C(=O)O,inactive,176.17199999999997,-2.1046999999999993,4,4,2.240000000254458
CHEMBL56035,CC(C)[C@H](NC(=O)CN)C(=O)O,inactive,174.2,-0.829499999999999,3,3,2.33999999963408
CHEMBL329801,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1C[C@@H](NC(=O)NC(CS)Cc2ccccc2)C[C@H]1C(=O)O,active,556.6850000000003,1.9449000000000014,6,6,7.366531544420414
CHEMBL89956,N[C@@H](Cc1ccc(O)cc1)C(=O)NCC(=O)O,inactive,238.24299999999997,-0.5372000000000001,4,4,2.7000000010815404
CHEMBL85175,O=C(O)CN1CCCCC(NC(CCc2ccccc2)C(=O)O)C1=O,active,348.3990000000001,1.1276999999999993,3,4,6.154901959985743
CHEMBL2114219,O=C(O)CN1CCCCC[C@H](N[C@@H](CCc2ccccc2)C(=O)O)C1=O,active,362.4260000000001,1.5177999999999996,3,4,8.698970004336019
CHEMBL88328,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1C[C@H](NC(=O)C(CS)Cc2ccccc2)C[C@H]1C(=O)O,active,541.6700000000003,2.0095000000000005,5,6,6.5968794788241825
CHEMBL56119,CC(C)C[C@H](NC(=O)CN)C(=O)O,inactive,188.22699999999998,-0.43939999999999874,3,3,2.6000000002609998
CHEMBL330552,CSCC[C@H](NC(=O)CN)C(=O)O,inactive,206.26699999999997,-0.732399999999999,3,4,2.850000001421298
CHEMBL94250,C[C@H](N)C(=O)NCC(=O)O,inactive,146.146,-1.4655999999999998,3,3,2.6000000002609998
CHEMBL90610,N[C@@H](CO)C(=O)NCC(=O)O,inactive,162.145,-2.4932,4,4,2.070000000103263
CHEMBL91392,NCC(=O)N[C@@H](CC(=O)O)C(=O)O,inactive,190.15499999999997,-2.0107999999999997,4,4,2.0400000001694822
CHEMBL414828,C[C@H](N)C(=O)N1CCC[C@H]1C(=O)O,inactive,186.21099999999998,-0.5907999999999995,2,3,4.376750709602099
CHEMBL328594,C[C@H](O)[C@H](N)C(=O)NCC(=O)O,inactive,176.172,-2.1046999999999993,4,4,2.0
CHEMBL314707,NC1CCCN(CC(=O)O)C1=O,inactive,172.184,-0.9792999999999998,2,3,2.769551078621726
CHEMBL422419,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1C[C@H](OC(=O)NC(CS)Cc2ccccc2)C[C@H]1C(=O)O,active,557.6690000000003,2.3718999999999997,5,7,6.295849483160201
CHEMBL17697,C[C@H](N)C(=O)N[C@@H](C)C(=O)O,inactive,160.17299999999997,-1.0770999999999997,3,3,3.2100000013111223
CHEMBL314706,O=C(O)CN1CCCC(NC(CCc2ccccc2)C(=O)O)C1=O,active,334.3720000000001,0.7375999999999994,3,4,6.366531544420414
CHEMBL84966,NC1CCCCCN(CC(=O)O)C1=O,inactive,200.238,-0.19910000000000033,2,3,3.3565473235138126
CHEMBL93178,C[C@H](NC(=O)[C@@H](N)CCCCN)C(=O)O,inactive,217.26899999999995,-0.9679999999999989,4,4,3.419999995796937
CHEMBL330038,NCC(=O)N[C@@H](CCC(N)=O)C(=O)O,inactive,203.19799999999995,-2.219999999999999,4,4,2.1500000002356523
CHEMBL17503,C[C@H](NC(=O)[C@@H](N)CC(=O)O)C(=O)O,inactive,204.182,-1.6222999999999992,4,4,2.4200000003661803
CHEMBL299889,NCC(=O)N[C@@H](Cc1ccccc1)C(=O)O,inactive,222.244,-0.24279999999999952,3,3,3.2000000030837636
CHEMBL56923,CC[C@H](C)[C@H](N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,intermediate,317.38900000000007,1.6531999999999998,4,3,5.700000503883016
CHEMBL92255,NC(N)=NCCC[C@H](N)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,inactive,321.38100000000003,-0.8205999999999962,5,4,3.6399999910458836
